,Name,Subject(s),No. of Items,Description,Provider(s)
22,Digital Scores from the Collections of the Eda Kuhn Loeb Music Library,"19th-century, Bach, libretti, Mozart, opera, Schubert",,"First and early editions and manuscripts from the 18th and early 19th centuries by J.S. Bach and Bach family members, Mozart, Schubert and other composers. Multiple versions of 19th-century opera scores, seminal works of musical modernism, and music of the Second Viennese School.",Harvard University
23,The Düben Collection Database Catalogue,17th and early 18th centuries,2300,Metadata and scanned facsimiles of items in the Düben collection of musical manuscripts and prints from the 17th and early 18th centuries.,"Department of Musicology at Uppsala University, Uppsala University Library"
24,e-codices: Virtual Manuscript Library of Switzerland,"early modern manuscripts, medieval",659,"Medieval and early modern manuscripts from several Swiss libraries, including the Abbey Library of St. Galla.",E-codices
25,Early Music Online,early music,10000,"Digitised images of over 320 volumes of 16th-century anthologies of printed music, from holdings at the British Library, made available for non-commercial use under JISC's Open Education User Licence.",Royal Holloway University of London
26,Frances G. Spencer Collection of American Sheet Music,"American, popular music",30000,From the late 18th century to the early 20th century.,Baylor University
27,Ignaz Pleyel Early Editions,"chamber music, French, Ignaz Pleyel, keyboard music",200,Early printed and manuscript scores of the French composer and music publisher Ignaz Pleyel (1757–1831). Includes arrangements of large orchestral works published within the composer's lifetime.,University of Iowa
28,IN Harmony: Sheet Music from Indiana,"downloadable sheet music, open source software",129400,Sheet music and open-source sheet music cataloging software.,"Indiana University Lilly Library, the Indiana State Library, the Indiana State Museum, and the Indiana Historical Society"
29,International Music Score Library Project (IMSLP),,799000,"Public domain music scores (720,000) and recordings (79,000), including some contemporary composers.",International Music Score Library Project
30,Inventions of Note,"popular music, technology",50,"Sheet music for popular songs and piano compositions, mostly 1890–1920.",Lewis Music Library at MIT
31,Jean-Baptiste Lully Collection,"17th-century, 18th-century, French, Jean-Baptiste Lully",30,"Rare 17th- and 18th-century scores of operas, ballets, and compilations by the French composer Jean-Baptiste Lully and his sons.",University of North Texas Music Library
32,Juilliard Manuscript Collection,"Beethoven, Brahms, Mozart",138,"Autograph manuscripts, sketches, engravers' proofs, and first editions.",The Juilliard School
33,KernScores,classical,,"Scanned graphical music scores (separated by movement), with manually corrected OMR data: Beethoven piano sonatas edited by Paul Dukas. Édition classique a Durand & fils, No. 9327. 1915. Mozart piano sonatas from the Alte Mozart-Ausgabe: Wolfgang Amadeus Mozarts Werke. Kritisch durchgesehene Gesammtausgabe (volume 20 [1878]). Breitkopf & Härtel, Leipzig; 1877–1883. Selected Haydn keyboard sonatas (partial OMR) 34 harpsichord/pianoforte sonatas from the first four volumes published by Universal Edition (1901). D. Scarlatti keyboard sonatas (partial OMR) Edited by Alessandro Longo (Ricordi, 1906–1913).",Center for Computer Assisted Research in the Humanities
34,Laborde Chansonnier,"15th-century, manuscript, mensural, sacred, Octavo",,"One book of music from Rare Book Room, which contains digitized books of many types. Laborde Chansonnier – ca. 1470 – Unknown, (author) – France – Library of Congress, Music Division",Rare Book Room of the Library of Congress
35,Lester S. Levy Collection of Sheet Music,"19th-century, American, minstrel music, popular music, war songs",29000,American popular music spanning the years 1780–1980.,Johns Hopkins University
36,Library and Archives Canada: Sheet Music From Canada's Past,"Canadian, popular music",20000,"Patriotic and parlour songs, piano pieces, sacred music, and novelty numbers published from before 1900 to 1920. Includes Canadian imprints and music by Canadians or about Canada published anywhere in the world.",Library and Archives Canada
37,The Library of Congress: Historic American Sheet Music: 1850–1920,American,3042,"19th and early 20th-century American sheet music drawn from the Rare Book, Manuscript, and Special Collections Library at Duke University.",The Library of Congress
38,The Library of Congress: Music for the Nation: American Sheet Music 1870–1885,"19th-century, American",62500,"Historical sheet music registered for copyright, including more than 15,000 registered during the years 1820–1860 and more than 47,000 during the years 1870–1885. Includes popular songs, operatic arias, piano music, sacred and secular choral music, solo instrumental music, method books and instructional materials, and music for band and orchestra.",The Library of Congress
39,The Library of Congress: The Moldenhauer Archives,Western music,130,"Representative examples documenting the history of Western music from the medieval period through the modern era, including many complete works.",The Library of Congress
40,Medieval Music Database,medieval,,"Four complete manuscripts, a gradual, and three antiphonals.",La Trobe University
41,MuseData,classical,,"Graphical Scores and originating data[1] for: Archangelo Corelli, complete published works, Opp. 1–6 (72 works) Ludwig van Beethoven, complete symphonies, selected string quartets Antonio Vivaldi, concerti grossi other works (Bach, Handel, Haydn, Marcello, Mozart, Rovetta, Teleman)",Center for Computer Assisted Research in the Humanities[2]
42,"Music Australia – Australia's Music: Online, in Time",Australian music,11318,"Music made and played by Australians, most published before 1930. Medium-resolution scans. PDFs available.",National Library of Australia
43,Music in the Manuscripts of Bibliothèque Interuniversitaire Médecine of Montpellier,medieval,,,Bibliothèque Interuniversitaire Médecine of Montpellier
44,Music Library Digital Scores Collection,17-19th century,45,"Manuscript musical scores dating from the 17th through 19th centuries—mostly 17th and 18th century operas, opera excerpts, and other vocal music.",University of Washington
45,Music Manuscripts Online,classical,900,High-quality images and descriptions of music manuscripts.,The Morgan Library & Museum
46,Musica Brasilis,Brazilian music,1000,Music scores by Brazilian composers.,Musica Brasilis initiative
47,Neue Mozart-Ausgabe: Digitized Version,Mozart,,Musical text and critical commentaries of the entire Neue Mozart-Ausgabe.,"Internationale Stiftung Mozarteum, Packard Humanities Institute"
48,Open Music Score,classical,,Public domain music scores provided by the user community in MusicXML format.,Open Music Score
49,Penn in Hand,"facsimile, manuscripts",,"Bibliographic information and digital facsimiles for selected collections of manuscript codices, texts, documents, papers, and leaves held by the University of Pennsylvania's Rare Book & Manuscript Library in the Kislak Center for Special Collections, Rare Books, and Manuscripts, as well as those privately owned by Lawrence J. Schoenberg (C53, WG56).",University of Pennsylvania
50,Project Gutenberg: The Sheet Music Project,"scores, sheet music",,,Project Gutenberg Literary Archive Foundation
51,Raphael Project,Renaissance,,"Colour photos, not downloadable.",Raphael Project
52,Répertoire International des Sources Musicales (RISM),"music manuscripts, printed music, libretti, music treatises",59000,"Searchable database of over 1.2 million historical musical sources, with a focus on the period between 1600 and 1850. When available, links are included to digitized items in the holding institution's repository.","RISM, Bavarian State Library, Berlin State Library"
53,Sheet Music Consortium,metadata harvesting,120300,"Open collection of digitized sheet music, using the Open Archives Initiative: Protocol for Metadata Harvesting (OAI:PMH). Collections Indexed: Library of Congress, Music Division – 47,528 records Rare Book, Manuscript, and Special Collections Library, Duke University – 20,157 records Lilly Library, Indiana University – 17,937 records Maine Music Box – 11,779 records Lester Levy Collection, Johns Hopkins University – 11,590 records National Library of Australia – 6,731 records UCLA Music Library – 4,593 records",Sheet Music Consortium
54,Sibley Music Library,"18th-century, French, opera",8643,Public domain scores and books.,Eastman School of Music at the University of Rochester
55,Tablature in PDF and PostScript,"lute, tab",75,"Lute music available in EPS, PDF, MIDI, or TAB format.",Wayne Cripps of Dartmouth College
56,Tomas Luis de Victoria,"editions, manuscripts, prints, Renaissance, Victoria",,"Prints and editions of Victoria, Morales, and some other Spanish composers.",University of Málaga
57,A Traditional Music Library,"folk music, sheet music",60000,Traditional and folk music from around the world. Includes downloadable PDF scores and MIDI backing tracks for many of the songs.,Rod Smith (musician)
58,Vatican Exhibit Main Hall: Music,Renaissance,23,Colour JPEGs of Renaissance manuscripts.,ibiblio
59,Ville de Laon: Bibliothèque Municipale,Renaissance,,Music from the 9th to 15th centuries.,Ville de Laon: Bibliothèque Municipale
60,Virtual Music Rare Book Room,"18th-century, French, opera",,Emphasis on 18th-century French opera.,University of North Texas
